angle, time_diff, t, z, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45.0, 900.0, 0.0, 0.0, 15.384787559509277, 3.6509575843811035, 0.0, 1.049793033786834E-6, 6.28E15, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 352.9215350355194, 1.6969325183810817E-5, 146.5066210196693, 8.776472099442486E-6, 1.5294337934055246E-4, 2.700288516688968E-5, 40.77052181462817, 0.6028902323080487, -0.009822524127634782, -49.9868, 150.5252, 10491
45.0, 900.0, 1.0, -0.009976321631173079, 16.634052069809737, 3.654821260939263, 3.637085254586744E-4, 1.049793033786834E-6, 6.28E15, 0.4772129549087957, 0.1003190526092572, -0.017109351818909116, 0.6978848670957184, -0.43874937835461736, 1.7877015285861608, 381.9830284763506, 1.6614415416184833E-5, 146.49563848312778, 8.776479114439285E-6, 1.5294332711276182E-4, 2.7257141462288068E-5, 40.76864713962075, 0.6007463859644533, -0.009823378251832526, -49.9867, 150.5258, 10491
45.0, 900.0, 1.0564543329275244, -0.010539869210198642, 16.701792166692925, 3.6550392604275554, 3.844667505521229E-4, 1.070284296927053E-6, 6.28E15, 0.48182367296318623, 0.10095113768751217, -0.016804873752610985, 0.6824802392611268, 0.7715550736623079, 0.6128327639508208, 383.5614835557187, 1.6596677682055256E-5, 146.49500392768812, 9.300508428387915E-6, 1.5897229443384548E-4, 2.727149546132946E-5, 40.768541310600106, 0.6006253665854513, -0.0098233895417999, -49.9867, 150.5259, 10491
45.0, 900.0, 1.1160957575613406, -0.011135253740667874, 16.77305930848805, 3.655269552808395, 4.06423051969334E-4, 1.0713749615097854E-6, 6.28E15, 0.4820665872739847, 0.10098491511852924, -0.016788404965121975, 0.6968331739342775, -0.5719694524194678, 1.958608441631405, 385.22242416949985, 1.6578169748727566E-5, 146.49435657751783, 9.328971289598299E-6, 1.592964583876581E-4, 2.7286659814441635E-5, 40.76842950733571, 0.6004975157328314, -0.009823438429733274, -49.9867, 150.5259, 10491
45.0, 900.0, 1.179104199037706, -0.011764275031956763, 16.848022323898004, 3.6555128304321762, 4.2964811122573433E-4, 1.0725202235146183E-6, 6.28E15, 0.48232139308162075, 0.10102039673568869, -0.016771083604412693, 0.6891318669872155, 0.45962564414824714, 0.9294152472786612, 386.96983313523293, 1.65588685772108E-5, 146.49365088356382, 9.358919686700134E-6, 1.5963719574618878E-4, 2.730268027048624E-5, 40.76831139258625, 0.6003624478093057, -0.009823490080021329, -49.9867, 150.5259, 10491
45.0, 900.0, 1.2456697400464227, -0.012428834768559306, 16.92685670372793, 3.655769824545996, 4.5421695451020326E-4, 1.073722447061701E-6, 6.28E15, 0.4825885766322047, 0.10105765757444811, -0.01675286976375942, 0.6976186021181592, -0.8897713946939257, 2.281375298313566, 388.80785452265854, 1.653875338409716E-5, 146.49292837857092, 9.390428332817843E-6, 1.59995281600481E-4, 2.7319605161472756E-5, 40.768186610075055, 0.6002197554567248, -0.009823544648098568, -49.9867, 150.526, 10491
45.0, 900.0, 1.3159931942687462, -0.013130942293145967, 17.00974473762758, 3.6560413074676417, 4.8020923922718553E-4, 1.0749841057750361E-6, 6.28E15, 0.4828686442411325, 0.10109677622224104, -0.016733721435097063, 0.6862621510547179, 0.602087856829004, 0.7922512900419603, 390.7407974911937, 1.651780250337962E-5, 146.49216508485887, 9.423570672139533E-6, 1.603715018003528E-4, 2.7337485548713353E-5, 40.76805478341613, 0.6000690083287763, -0.009823602299699617, -49.9867, 150.526, 10491
45.0, 900.0, 1.3902867121883502, -0.01387272071320143, 17.09687564317135, 3.65632809487978, 5.077095616720588E-4, 1.0763077114450928E-6, 6.28E15, 0.4831621060754779, 0.10113783261522503, -0.01671359555267808, 0.6832100824571886, 0.7146275279317851, 0.6826308584154428, 392.77314001260663, 1.6495995145692847E-5, 146.4913369021396, 9.458422270098874E-6, 1.607666598386368E-4, 2.735637537514249E-5, 40.76791551497936, 0.5999097517942635, -0.009823663208812682, -49.9867, 150.526, 10491
45.0, 900.0, 1.4687744211029445, -0.01465641335804798, 17.188445686475635, 3.6566310482508477, 5.368077872522209E-4, 1.0776958478309179E-6, 6.28E15, 0.4834694832970376, 0.1011809090924316, -0.016692447443410377, 0.6881657445668111, 0.4814399975644952, 0.918934137943817, 394.9095324658401, 1.6473312585952005E-5, 146.49048499295927, 9.495067069900918E-6, 1.6118161544792482E-4, 2.7376331629127957E-5, 40.7677683846914, 0.5997415055669575, -0.009823727559303466, -49.9867, 150.5261, 10491
45.0, 900.0, 1.551693101267322, -0.015484390606857641, 17.284658293586283, 3.6569510773894756, 5.675994055717905E-4, 1.079151192032485E-6, 6.28E15, 0.4837913123812427, 0.10122609106597259, -0.016670230459212787, 0.687125673814731, 0.519472663649203, 0.8842270751729294, 397.1548010921294, 1.6449735313272193E-5, 146.48956319226536, 9.533585813588262E-6, 1.6161722642909866E-4, 2.739741451656946E-5, 40.7676129487697, 0.599563762258907, -0.009823795546568488, -49.9867, 150.5261, 10491
