angle, time_diff, t, z, eps, Dh, Dv, sigmah, sigmav, sigmas, rice, Nice, g_t, Qabs_t, Qsca_t, g_s, Qabs_s, Qsca_s, CCS, CCS_esti, V_inter, IWC, RHice, Re, v_sed, windshear_s, wind_u, wind_v, wind_w, lat, lon, altitude
45, 900.0, 1.0, -0.009976321631173079, 0.061339204406533815, 20.0, 0.014110167174222575, 16.634052069807403, 3.6518596798415026, 3.61987368932746E-4, 1.257924673933552E-6, 8.886248538064528E14, 0.5202399513421857, 0.10683941886948096, -0.013627096549106404, 0.6730463087184888, -0.08533059789491618, 2.100897951385556, 374.12075897968106, 374.12075897968106, 221721.30747517818, 3.0643109592639954E-5, 146.63389800114257, 1.5117576553282323E-5, 2.1967947760289562E-4, 2.7172212319406546E-5, 40.769411696220516, 0.6018956595417051, -0.009823432413654356, -49.9868, 150.5256, 10491
45, 900.0, 1.0564406686968904, -0.01054382110071322, 0.061339204406533815, 20.0, 0.014110167174222575, 16.7017758040902, 3.6520777505132007, 3.826430149444416E-4, 1.290812455635036E-6, 8.224185131468126E14, 0.5263395010863646, 0.10786878402353116, -0.013007548232655652, 0.6558950876431997, 0.6053824961286505, 1.4972062033275535, 375.6344555986476, 375.6344555986476, 222625.31997133038, 3.051962635212575E-5, 146.6332628883985, 1.633456891867679E-5, 2.3131643225835074E-4, 2.7186562588464594E-5, 40.76930588949302, 0.6017746661140908, -0.009823480611895336, -49.9868, 150.5256, 10491
45, 900.0, 1.1160668864767327, -0.011143352477826234, 0.061339204406533815, 20.0, 0.014110167174222575, 16.773024882905762, 3.6523081150958827, 4.0449060337448733E-4, 1.2907632205319485E-6, 8.225382031706851E14, 0.5263304976119606, 0.10786724654101873, -0.013008487939242294, 0.6756312773804285, -0.4147528843401556, 2.5172311812389223, 377.2269605516296, 377.2269605516296, 223576.4889764602, 3.039078440493871E-5, 146.63261497667725, 1.6332701707555525E-5, 2.312987865172723E-4, 2.7201722804512823E-5, 40.769194111226554, 0.6016468443034708, -0.009823529432281715, -49.9868, 150.5257, 10491
45, 900.0, 1.1790584478599357, -0.011776723886992297, 0.061339204406533815, 20.0, 0.014110167174222575, 16.847968013364266, 3.652551465827498, 4.27600445361373E-4, 1.2907114478464052E-6, 8.226642226023852E14, 0.5263210296895195, 0.1078656298040736, -0.013009476039683318, 0.6638844693897813, 0.3143913056027332, 1.7879708296823689, 378.9020480316158, 378.9020480316158, 224577.08325974, 3.025642983301667E-5, 146.6319304965682, 1.633073842260128E-5, 2.3128023203881828E-4, 2.7217738682631675E-5, 40.76907602441406, 0.6015118087771594, -0.009823581010612533, -49.9868, 150.5257, 10491
45, 900.0, 1.2456052950898682, -0.01244584553004784, 0.061339204406533815, 20.0, 0.014110167174222575, 16.926780558338745, 3.6528085338267138, 4.520471738652792E-4, 1.290657010673096E-6, 8.227968853547645E14, 0.5263110740481306, 0.10786392984783118, -0.013010514950020743, 0.6750156095202432, -0.35809648165412294, 2.4603364009016366, 380.6636416644597, 380.6636416644597, 225629.46264982375, 3.0116411929643737E-5, 146.63118556879624, 1.6328671250948973E-5, 2.312607100526235E-4, 2.723465851900216E-5, 40.76895127303119, 0.6013691524617601, -0.00982363550241175, -49.9868, 150.5257, 10491
45, 900.0, 1.3159080908771277, -0.013152735450551066, 0.061339204406533815, 20.0, 0.014110167174222575, 17.009644673050854, 3.6530800912654535, 4.7791002877862896E-4, 1.2905997775010714E-6, 8.22936518969152E14, 0.526300606566986, 0.10786214256337294, -0.013011607173471551, 0.6620860463138425, 0.38917622969825877, 1.7129351121046674, 382.5158176773998, 382.5158176773998, 226736.08012367494, 2.997058555281413E-5, 146.63042164376853, 1.63265012842988E-5, 2.3124020035806278E-4, 2.7252533336729638E-5, 40.76881948096311, 0.6012184453166531, -0.009823693072030105, -49.9868, 150.5258, 10491
45, 900.0, 1.390178823469881, -0.01389952562750818, 0.061339204406533815, 20.0, 0.014110167174222575, 17.096749434005673, 3.653366953661524, 5.052731627932038E-4, 1.2905396337199861E-6, 8.230834650458076E14, 0.526289606208238, 0.10786026436931252, -0.013012754889963868, 0.6761143479618958, -0.45411984085221657, 2.5560959734441098, 384.4628079147446, 384.4628079147446, 227899.48382337633, 2.9818808504559138E-5, 146.6295927874393, 1.632421815811994E-5, 2.3121863521786599E-4, 2.7271417032086104E-5, 40.76868025087141, 0.601059233039205, -0.00982375389422767, -49.9868, 150.5258, 10491
45, 900.0, 1.4686414458747774, -0.014688468405308887, 0.061339204406533815, 20.0, 0.014110167174222575, 17.188290959476568, 3.6536699822978274, 5.342259703073509E-4, 1.2904764313589382E-6, 8.232380796773006E14, 0.5262780458236933, 0.10785829064220558, -0.013013960915218434, 0.6739519111585669, -0.27377953734246047, 2.37561348214865, 386.509002685458, 386.509002685458, 229122.31899350474, 2.966094648942624E-5, 146.62874019668928, 1.6321822344898654E-5, 2.3119598855837121E-4, 2.7291366552168687E-5, 40.768533162996576, 0.6008910356961961, -0.009823818152180756, -49.9868, 150.5259, 10491
45, 900.0, 1.5515325511559177, -0.015521943296795697, 0.061339204406533815, 20.0, 0.014110167174222575, 17.284472520774006, 3.65399008677497, 5.648634404086673E-4, 1.2904100466001885E-6, 8.234007338845532E14, 0.5262659026733034, 0.10785621751258648, -0.01301522760314254, 0.6784133379408268, -0.680346688022406, 2.7820311723704396, 388.6589534284359, 388.6589534284359, 230407.32983241373, 2.9496870072141085E-5, 146.62781767060957, 1.631930313995532E-5, 2.3117218938023255E-4, 2.7312442054240982E-5, 40.768377773893, 0.6007133462784391, -0.009823886040926384, -49.9868, 150.5259, 10491
45, 900.0, 1.6391020858481498, -0.016402464160587313, 0.061339204406533815, 20.0, 0.014110167174222575, 17.385504643578884, 3.654328227704444, 5.972865367572164E-4, 1.29034032189334E-6, 8.23571814055379E14, 0.5262531478363035, 0.1078540400572425, -0.013016557950317031, 0.6787031867731209, -0.7089743408084835, 2.8105017202578604, 390.91737518267155, 390.91737518267155, 231757.36125175198, 2.9326459705956526E-5, 146.62686612313038, 1.6316660658942864E-5, 2.3114720820821596E-4, 2.7334707090376413E-5, 40.76821361509283, 0.60052562917401, -0.009823957765071063, -49.9868, 150.5259, 10491
